Korean,English
소피아는,Sophia
데려와야,Bring it
한지,After
보여주면,If you show it
치마,skirt
씻어,Wash
발견했다,found
없을겁니다,There will be no
오빠한테,To my brother
있다며,That there is
문서를,Document
지문을,Fingerprint
계집애,jane
로라가,Laura
인지,Recognition
집에선,At home
목소리로,In voice
시신은,The body
잘못이지,It's wrong
왜냐고,Why
슈퍼걸이,Super hanger
제나,Jenna
말합니다,Say
지식의,Knowledge
루시가,Luciga
그래선,Yes
몰랐지만,I didn't know
약간은,Slightly
덕분이야,Thanks
가주세요,Please go
않았으니까,I didn't
선생님이랑,Teacher
신장이,Kidney
중요한지,Is it important
한명의,One
생각해도,Even
미친년,Crazy bitch
흥미가,Interester
그랬습니다,I did
걱정해야,Must be worried
알겠다고,I know
돈과,Money and
살인범이,Killer
고귀한,noble
책임져야,Be responsible
자켓,jacket
초등학교,elementary school
시간당,per hour
목격자,witness
부는,Bustling
해외,Overseas
주방,kitchen
그러시겠지,That must be
붙어서,Stuck
격리,isolation
중이었는데,I was in charge
여자처럼,Like a woman
보겠어,I'll see you
차례다,Turn
가까워요,it's close
패스,pass
버려두고,Abandoned
루시어스는,Lucius
숙모,aunt
붙이는,Attached
같지도,It may be the same
오해를,Misunderstanding
그만해라,stop
신세가,Sangga
하셔도,Even if you do it
배터리가,Battery
일어났을,Wake up
잠만,Sleepman
가문을,Family
눈과,Eye and
얘기했잖아,I told you
늙은이,gaffer
fbi는,FBI
있었습니까,Was there
메시지가,Message
분과,Division
꿈에도,Even in dreams
자식들을,Children
딕스,Dix
나오라고,To come out
버드,Birds
이것으로,Through this
놀랍군,Amazing
수색을,Search
전설,Legend
환자예요,I am a patient
관두고,Quit
실험실에서,In the laboratory
가보고,Go report
서방님,Western
때문이겠지,Because
없었나,Wasn't it
모리아티,Moriati
분이야,It's a minute
누굴까,Who is it
모르네,I don't know
4명의,4
보기로,With a look
말씀이신지,Word
재주가,Talentedist
그앤,That Anne
봄,spring
중령,lieutenant colonel
질투하는,Jealous
전문가,expert
손목,wrist
위가,Stomach
싫어하잖아,I hate it
없더군요,There was no
떠들고,Spoiled
대규모,Large-scale
엠파이어의,Empire
장난이야,It's a joke
알아야겠어요,I need to know
메일,mail
지진,earthquake
선택하지,Choose
생물,Biology
먹어서,Eat
찾아냈어요,I found it
제안이,Proposal
하치,Hachi
굿윈,Goodwin
지금이라도,Now
짚고,Pointed out
취급,treatment
빨리와,come fast
좋아하니,I like it
하든지,Whether it is
버렸다,Discarded
멋졌어,It was cool
배달,delivery
바랬어,I hoped
싶으시면,If you want
수술해야,Surgery
닉을,Nick
따님,Herd
숨어있는,Hidden
자렴,Independence
폭발할,To explode
옷장에,In the closet
터진,Broken
시대의,Era
알텐데,I know
마이티,Mighty
한국,korea
유쾌한,pleasant
조절,control
확신합니다,I am sure
했지요,I did it
오염,pollution
여자들과,With women
괜찮지만,It’s okay
지붕에서,On the roof
자신은,Themselves
의사와,Doctor and
노래하고,Sing
돌이,Stone
곳이요,Where is it
장갑을,Gloves
보이는지,Visible
취하지,Drunkenness
생각하는게,Thinking
혼자서도,Alone
감방에,Prison
데이터가,Data
워커들이,Walkers
지금으로선,Now
어떡할,What to do
골절,Fracture
연구실로,As a lab
잠들,Sleep
안그래도,Still
질병을,The disease
행성이,Planet
무지개,rainbow
저쪽에서,Over
와타나베,Watanabe
사항은,The matters
교황,Pope
존재는,Existence
노릇을,Rogue
샌드위치를,Sandwich
안엔,Inside
찾는다고,Looking for
하우스,House
녀석아,Guy
로렌,Lauren
허니,honey
울면서,Crying
경고하는데,To warn
호텔을,Hotel
잊으면,If forgotten
특수요원,Special agent
사실이죠,It's true
남겨진,Left -handed
보호하려는,To be protected
파리로,Paris
찢어,Tear
멍청하긴,Stupid
그때까진,Then
쪽이든,Whether it is
일들에,Work
참이야,It's true
옳소,Right
땅콩,peanut
한다니,Do it
좌측,left side
쟤도,She
기회에,On opportunity
천만,10 million
했었고,I
스,Su
팔아요,sell
따라오게,Follow
디아즈,Diaz
아싸,Oh yea
아메리카,America
산다는,Living
조사하는,Surveyed
시력을,Vision
물건이야,It is something
기다렸지,I waited
엘리자베스가,Elizabeth
신청을,Application
할거라고,I will do it
악마야,Devil
받죠,I get it
바람은,Windy
시작했는데,I started
사실이지,It's true
있,In place
죄는,Sinful
너지,Nautu
날엔,Day
가호가,Gaho
무너지고,Collapse
받아도,Even
패턴이,Pattern
춥고,Cold
하지말고,Do not
가겠다고,I will go
고만,Highman
애리조나가,Arizona
남았네,Remaining
안전벨트,safety belt
헤나,Henna
편이에요,It's on the side
내리면,If you get off
진실한,bona fide
주님이,Lord
자국,mark
넘은,Overwhelming
안이,ease
말할수,I can say
까먹었어,I forgot
은행은,The bank
비행을,Flight
관련해서,In relation
메살라,Mesala
죽었나요,Are you dead
지금보다,Than now
얼음이,Ice
안되네,No
되거나,Or
때리는,Hitting
조사할,To investigate
타디스를,Tadis
확신을,Confidence
반갑구나,Nice to meet you
장인,master
찔린,Stabbed
무전기,Radios
마셔야,You should drink
자정,midnight
굴어서,In
박스를,Box
분이죠,Boon
해줄거야,I'll do it
커트,cut
차서,Kick
만큼이나,As much as
뭐좀,What
고통스러워,Painful
이래라,This is
맞을지도,Might
날짜,date
깨달았어요,I realized
독방에,Solitary
달라졌어,Changed
난쟁이,dwarf
찾으려면,To find
추는,Cheating
보여주려고,To show
가족이에요,I am a family
편해,Comfort
싫습니다,I hate it
덮어,Cover
강하지,Strong
들거야,I will go to
생각해봤어,I thought about it
왔으니까,Because I came
우리집에서,In my house
데려가려고,To take it
싸우면,If you fight
이리와서,Come on
바이탈은,Vital
남편분이,Husband
하나하나,One by one
믿음은,Faith
박물관에,In the museum
떨지,Tremble
공개적으로,Publicly
프랑스에,In France
공격은,Attack
케이블을,Cable
나름의,Inactive
사의,Apostate
놈들한테,To guys
파리의,Parisian
수영복,swimsuit
겁나게,Terribly
잘라서,Cut
있기는,Is there
뉴저지,New Jersey
드린,Given
면접,interview
워우,Warwow
길리,gillie
긴급한,urgent
쟤랑,With him
밑을,Below
때와,When
재밌겠다,It's gonna be fun
딸한테,To my daughter
가능한한,possible
옆집에,Next door
되기로,To be
키운,Raised
본이,Bonnage
김선임,Sunim Kim
거거든요,I say
바이올린,violin
화장을,Makeup
메기,catfish
오늘날,Today
중이니까,Because it is
은하는,Silver
비해,Than
알리는,Informed
6시간,6 hours
케이스가,The case
거리로,By the distance
모르면,If you don't know
집착하는,Obsolete
40년,40 years
활성화,activate
쏴서,Shoot
넬슨,Nelson
자신감이,Confidence
오예,Oh yeah
콘서트,concert
물질이,Substance
충성,Loyalty
전통,tradition
아씨,madam
유감이군,I'm sorry
가셔서,Go
베고,Cutting
고쳐야,I have to fix it
찍어야,I have to shoot
기다려봐요,Wait
50만,"500,000"
원숭이가,Monkey
압박,pressure
번엔,In number
다리에서,On the legs
가끔씩은,Sometimes
괜찮으십니까,Are you okay
이사회에,To the board of directors
비오,Bio
마이클은,Michael
인턴을,Intern
티나,Tina
행위를,Action
위한거야,It's for
귀엽지,Is not it cute
양복,suit
꼴로,Likely
비겁한,dastardly
돌아가실,Dead
젤리,jelly
받도록,To receive
한적,Haen
놀라울,Amazing
갔네,I went
보내기,Send
진료,diagnosis
리스트를,List
연락할게,I'll contact you
알람,alarm
존중해,Respect
너라고,it's you
헨리는,Henry
정상이야,It's normal
도망쳐야,Run away
어째서요,Why
조디,Zodiac
막혔어,Blocked
내보낼,Export
헌터,Hunter
경우도,Case
명백히,overtly
있다던데,I said
버논,Vernon
더욱더,More and more
요한,John
미쳤구나,You're crazy
선배님,Seniors
수표,check
점수,score
커피가,Coffee
의지할,To rely
여기와서,Come here
찾아봐요,Look for it
연인,lover
리우다,Score
테네시,Tennessee
가지면,Branch
경찰서로,At the police station
그렇게나,So
동등한,equivalent
이론을,Theory
이만하면,If so
붕대,bandage
해당,corresponding
죄수,prisoner
잠깐요,Wait a minute
잘있어,Bye
쏴버려,Shoot
총상을,Gunshot
아저씨한테,To the uncle
크리스티나를,Christina
벗겨,Peeled off
표식을,Mark
룸메이트,roommate
생을,Life
그야말로,Indeed
알코올,Alcohol
생겼고,I got it
사방이,Everywhere
기도가,Prayer
때문인,Because of
후부터,Later
보이나요,Can you see
날고,Flying
샘플,Sample
읽었는데,I read it
좋아하진,I like
문신을,Tattoo
사냥꾼,Hunter
모른다고요,I don't know
누구인가,Who is
있었을까,Was there
차트에,On the chart
왔단다,I came
거부,refusal
후보,candidate
독일군,Germans
교황이,Pope
인데,It is
만든다고,Make it
모르니까요,I don't know
허먼,Human
발자국,footprint
저거야,That's that
들었거든,I heard
치자,Gardener
게이라고,Gay
내용,detail
여자애들,Girls
보고싶지,I miss you
해결하기,Solving
똑같지,The same
전해라,To tell you
브랜든,Brandon
의사도,Doctor
들어왔습니다,I came in
축하할,Congratulations
배고파요,I'm hungry
있지는,Where
나기,Outstanding
나였어,I was me
확실치,Confidence
실험은,Experiments
미치겠어,I'm going crazy
왔다가,Come
어머니에게,To mother
없겠네요,I can't
아내로,As a wife
않을거요,I will not
집안의,Family
가문,droughty
지워,Erase it
말랬지,I told you
이러시면,If you do this
맞아야,That's right
때렸어요,I hit it
두분이,Two people
무서웠어요,I was scared
다루고,Handled
잠겼어,Locked
어디서든,Wherever you
하나지,One
요정이,Fairy
동생이야,My brother
괴물들이,Monsters
옳고,Right
공격하고,Attack
전화입니다,This is a phone
살인자야,Murderer
해답을,The answer
살아남는,Surviving
변화,change
텍스,Tex
년에,Year
부상이,Injured
그러는지,Is that
함선의,Ship
신입,newcomer
좌표를,Coordinates
죽었으면,If you die
따라가면,If you follow
벗어난,off
밥도,Bob
그러더니,Then
자아,Ego
없을텐데,There will be no
10시에,10 o'clock
짜는,Weaving
없다니까요,Because there is no
여자친구는,Girlfriend
열정이,Passion
자네에겐,For you
설령,Prayer
약속해줘,Promise
아니세요,No
본때를,This time
다치는,Hidden
어느정도,Some extent
나오미,Naomi
웃어요,smile
시작하세요,Start
부모님도,Parents too
승인을,Approval
증인이,Witnesses
방패,shield
주머니를,Pocket
도우려는,To be helpful
실패했어,Failed
장난치지,Joke
트렁크,trunk
크네,Big
끝내주지,Ending
돌아왔군,Return
들어있는,Contained
남자친구는,Boyfriend
반대편에,On the other side
아녔어,I did not
램지,Ramsey
정면으로,In front
안됐군,No
혼자야,Alone
결말을,The ending
얘네,These guys
방해할,To interfere
전부에요,All are
얘기요,Talk
화장실이,Toilet
나타나고,Appear
거짓말하는,Lying
면도,shave
새끼들아,Babies
잉,huh
언제라도,whenever
없어질,Disappearance
병사들이,Soldiers
바쁜데,I'm busy
어이가,Hey
정원에서,In the garden
고메즈,Gomez
영화도,Film
주목을,Attention
싸웠어요,I fought
보던,Saw
최,Choi
시절에,In the days
생각하네,I think
일어나야,Should happen
엄격한,strict
찼어,Kick
돌리는,Turning
가봐야겠다,I have to go
이들에게,To them
오겠지,I will come
모양이,Shape
일해서,Work
침실에,In the bedroom
불고,Bulging
얘기할게,I'll talk
전화했는데,I called
나무에서,In the tree
주소서,Address
못하니까,I can't
끝났을,It must have been over
의도를,Intention
케일럽,Kaleur
에이버리가,Award
걸렸다고,I got caught
꺼내야,Take it out
기껏,at the outside
부담을,Burden
미스테리를,Mystery
욕조에,In the bathtub
음반,record
되시죠,It will be
기쁘구나,I'm happy
웃게,Laugh
즐거워,Funny
두라고,To do it
의미있는,Meaningful
바칠,Offering
감방,ward
때까지요,Until until
가망이,Prospect
인사나,Insa Na
얘기해줘,Tell me
춘향아,Chunhyanga
맡는,In charge
가까이서,short
되기를,To be
본능을,Instinct
찾았을,I found
여러분들을,You guys
보였다,It was seen
이놈들,These guys
메리가,Mary
조나,Jonah
커튼,curtain
보이냐,Can you see it
애기를,Baby
그러더군요,Then
이스트,Yeast
듣기만,Listen
까진,So far
열게,Open
애들에게,To the kids
틀어,Twist
저격수가,Sniper
가면을,Mask
찾아보고,Look for
차나,Carna
났죠,I was
운영하고,Operate
흉내,mimicry
가게가,The store goes
당신한텐,For you
레이더,Radar
머지않아,soon
통하지,Passion
동네에서,In the neighborhood
해야하지,Should be
있었으니까요,Because there was
변하게,Change
늦어,late
미쳤나,Are you crazy
여러분들의,Your
데스,death
깜빡했네,I forgot
방울,Bell
최고죠,The best
사야,Saya
깨닫지,I realize
창피한,Embarrassing
되돌아,Back
머릿속에서,In my head
어울려요,It suits
아시아,Asia
연구소,laboratory
고마운데,Thank you
이야기하지,Talking
찼어요,It's full
틈에,In the gap
치,tooth
하셨는데,I did it
미션,mission
천국에서,In heaven
통제가,Controller
말이라고,Word
찾길,Found
샌디,Sandy
법률,law
프레슬리,Presley
차고에,In the garage
된거에요,It's done
실패를,Failure
맑은,clear
차례에요,It's in turn
버려야,I have to throw it away
버디,birdie
바뀌었어요,It has changed
줍니다,give
근거가,Evidence
열어야,Open it
동물들을,Animals
되고요,Be
있다는게,That there is
준비하라,Prepare
안좋아요,Not good
저항군,Resistance
성공했어,Successful
위기에,In crisis
스트립,strip
제정신이야,It's insane
샬롯,shallot
피부에,On the skin
지구가,Earth
멀었어,It was far
사생활,privacy
못하면서,Without
보내주지,Send it
명과,Name
사고는,The accident
심각해요,Seriously
놀랍지도,Amazing map
스튜디오,studio
들리세요,See you
편으로,On the side
산이,Mountain
어딨냐고,Where is it
의심하지,Doubt
자격도,Qualification
크라울리,Crowuli
없구만,There is no
따라오지,Follow
않았을까,Wouldn't it be
총각,bachelor
말하라,Say
자존심이,Pride
모두와,Everyone
아닌걸,Not
지분을,Stake
하냐고,I say
3개의,3
불길한,ominous
그렇잖아요,That's it
온라인으로,Online
불만을,Complaint
체,sifter
8년,8 years
쓰레기통에,In the trash can
노릇,Brown
모른다구요,I don't know
형태의,Form
실수하는,Mistake
푼도,Founddo
잘못이라고,It's wrong
리스트,List
주겠어요,I will give you
그러고도,Then
속였어,I was deceived
말해보렴,Tell me
오는지,Come
거지요,It's a beggar
걸렸지,I got caught
문에서,At the door
좌회전,turn left
끌어내,Pull
옥상으로,On the roof
정원에,In the garden
왕자는,The prince is
기사는,The article
가운,gown
시트,Sheet
열어서,Open
구조를,Rescue
있었대,There was
사이버,Cyber
크면,Larger
시대는,The times
병신같은,Assholey
시절이,Time
알려드릴게요,I'll let you know
돌아가라,Go back
막다른,Deadly
번개가,Lightning
구운,roast
문제인지,Problematic
생각이라고,Thinking
인정할,To be recognized
공군,air Force
코트를,Coat
그것들,those
경로,Route
로사,Rosa
하는지는,To do
폐하께서,Majesty
수지,profit
정의의,Definition
코디,Cody
안토니오,Antonio
지낸,Stayed
엘프,Elf
설사,diarrhea
마셔도,Even if you drink
새미,Sammy
엘리자베스는,Elizabeth
서연,Seoyeon
지옥에나,In hell
로만,Roman
코너에,Corner
화장실을,Toilet
만져,Touch
사무엘,Samuel
크기의,Sized
있었구요,There was
부르게,Calling
오르는,rising
위기,Danger
일에는,Work
수색해,Search
호출했어,Called
정부에서,In the government
강도가,Robbery
기도하고,Pray
재밌고,Funny
약속했잖아요,I promised
신속하게,Promptly
케이크를,Cake
절반,half
그러셨어요,I did it
안단다,Unite
음악도,Music degree
명단,list
20만,"200,000"
올려요,Upload
미확인,unidentified
만지는,Touching
좋아한다는,I like it
2명이,2 people
저리로,Away
농담이죠,It's a joke
양자,quantum
얘긴데,I talked
오늘만,Only today
전달,relay
보일러,Boiler
걔네들이,They
살다가,Lived
깊숙이,Deeply
거였지,It was
좋아하지만,I like it
깊고,Deep
강도를,Robbery
안드레가,Andrega
미지의,Unknown
밋치,Mitch
환영하네,Welcome
인간에게,To humans
떠났다,left
회전,rotation
고르는,Chosen
그앨,That album
꾸는,Decorative
죽기전에,Before dying
고마,thanks
배심원,juror
모르는군,Unknown
할거다,Be
기다립니다,wait
돼라,Be
마비가,Paralysis
지내나,I stay
셰리,Sherry
도망쳤어요,Run away
정신적인,Mental
출근,go to work
친구니까,Because I was a friend
쯤은,About
출발할,Starting
시작이다,Start
인상,impression
떨어뜨려,Dropped
나서지,Not going out
시험해,Test
사막에서,In the desert
싶었지만,I wanted to
한번의,One
어려,young
의원,lawmaker
서둘러라,Hurry up
꼬리를,Tail
대단했어,It was great
두통이,Headache
에스코바가,Escobaga
물질을,Material
저쪽이야,It's over there
걔네들은,They
작아,Small
탈출할,To escape
늦겠다,I will be late
레이몬드,Raymond
선택된,selected
절차,procedure
뉴욕의,New York
확실한가,Is it certain
패턴을,Pattern
가긴,Go
권한,authority
먹힐,Eat
일정이,Schedule
물과,Water and
옳아요,Right
나타나기,Appearance
본능이,Instinct
끝냈어,It's over
마녀가,Witch
있단걸,There is a girl
얌마,Yam
저희한테,To us
문자가,Text
정돈,trim
낯이,Stranger
그랬군요,That was
국장,director
놈들도,They also
홀,hall
주먹,fist
없,No
대단한데,It's amazing
잭을,Jack
야수,beast
얘기로,In
구체적으로,Specifically
또야,Again
적으로,As an enemy
있느냐,Is there?
것을요,To
여름이,Summer
동의할,To agree
사고였어요,It was an accident
아가리,Agar
시신,corpse
책임은,Responsibility
파이를,Pie
상대할,Relative
행동할,To act
화났어요,I'm angry
듣기로는,Listening
보는거야,Seeing
줄로,In line
병든,ailing
현상,phenomenon
일하면,When I work
재미있군,Funny
멈춰봐,Stop
불이야,It's fire
이츠키,Itsuki
차갑고,Cold
오해,misunderstanding
계약은,The contract is
우유를,Milk
외롭게,Lonely
근육을,Muscle
제국을,Empire
정이,Jungi
코끼리가,Elephant
재판이,Trial
가리지,Hidden
싫지,I hate it
슬픔,sadness
일급,first class
다행이군요,I'm glad
차례예요,It's a turn
마법사가,Wizard
멋지죠,It's cool
오브라이언,O'Brien
찾아가,Go
성경,Bible
넘지,Overwhelming
안한다고,Do not
충격적인,shocking
차가워,Cold
그리스도의,Christian
세기,century
도전을,Challenge
않으실,I will not
하더라구요,I did it
데려오지,Bring it
오고있어,Coming
시각,Time
쓰나,Write
싶다고요,I want to
혼란을,Confusion
실,line
주님께서,Lord
생길지,It will happen
늦었잖아,It's late
9시에,At 9 o'clock
끝내주게,Finally
분리,separation
벗어나는,Outdoor
깨달았지,I realized
스탠리,Stanley
종족,tribe
초대했어,I invited
악당이,Villain
덤보,Dumb
기억하게,Rememberly
외계인이,Alien
훔치지,Steal
아까부터,From before
하나키,Hanaki
했다니까,I did it
조용히해,Quiet
좋잖아요,Good
아들인,Son person
감독이,Director
사람이니까,Because he is a person
종이를,Paper
광범위한,discursive
이상하고,Strange
대출,loan
태어나기,Birth
낳는,Breeding
주차장에,In the parking lot
도덕적,Moral
싫든,I don't like
해결될,To be resolved
몸만,Body only
기쁘군,I'm happy
것이라,Be
모르겠지,I don't know
유,you
이라크,Iraq
관리를,Management
면역,immune
충격에,In shock
괴롭히지,Bullying
안한,Unmnowned
러키,Lucky
좋겠습니다,I hope
했더라,I did it
댓가로,In return
이해했어요,I understood
아껴,Saving
나서서,Out
변화는,Change
도둑이,Thieves
기다리면서,While waiting
아는거야,I know
꺼져버려,Get lost
점화,ignition
창문에서,On the window
인턴들,Interns
개자식이,Koh
따님은,The daughter
괴물로,Monster
죽기를,To die
섹시,Sexy
깨어난,Waking
몹쓸,bad
물었죠,Watered
안심이,Relief
신나는,exciting
코브라,cobra
최고라고,The best
침대가,Bedsman
의심,doubt
나비,butterfly
접시,plate
재미없는,Uninterested
폭파,blasting
스카프,scarf
위쪽,topside
전설이,Legend
불알,balls
애처럼,Like a child
오빠랑,Brother with
에이전트,agent
힘드네요,It's hard
경사,slope
미군,US military
까비르,Cavir
대담한,bold
밋첼이,Mitzel
정식,Formally
배신한,Betrayed
모임이,Meeting
미워,I hate you
그웬,Gwen
염병,Saline
살다,live
극장에,In the theater
일한다고,Working
앉고,Sitting
잊어버린,Forgotten
소문은,Rumor has
약혼자가,Fiancé
기억하니,I remember
동료들,Colleagues
신호에,Signal
심판을,Judgment
두부,tofu
경은,Kyung -eun
종말이,The end
해보렴,Try
달렸지,I ran
기대를,Expectations
걷게,Walk
아이에요,It's a child
간수,bittern
비밀의,Secret
소유하고,Own
어렵네요,It's difficult
본다는,Seven
앤디는,Andy
사전에,Beforehand
썩을,Rotten
갈릴레오,Galileo
다람쥐,squirrel
댁은,House
토레스는,Torres
않았어도,Even if you don't
재미가,Funist
구하면,If you ask
투여,administration
너만큼,As much as you
붙들어,Hold on
환자랑,With the patient
봤대,I saw it
그자를,His own
쉬워요,easy
놀아요,play
따님을,Design
궁금한게,I'm curious
멋졌어요,It was cool
여행에,Travel
카논아,Canon
과장,exaggeration
터무니없는,Ridiculous
다르잖아,It's different
2명,2 people
그랬을까,Maybe
도끼,ax
적응,adaptation
군의,Military
사무라이,samurai
할말,Speech
맨손으로,With bare hands
친구였어,I was a friend
자격을,Qualification
갔잖아,I went
신발에,On shoes
아내야,My wife
거짓말이에요,It's a lie
린지,Lindsay
느낌은,Feeling
사람보다,More than people
여자에요,Woman
영감이,Inspired by
하시나요,Do you do it
기관,Agency
예상보다,Tendonly
나머지를,The rest
보낼게요,I'll send it
만들었잖아,I made it
시리얼,Serial
가격,price
전용,private
팬더,Panda
피클,pickle
울면,Crying
버터,butter
그럴걸,That will be
그에게서,From him
데릭한테,To Derek
음주,Drinking
열두,twelve
2학년,2nd grade
지속적으로,Continuously
인질,hostage
부엌에서,In the kitchen
분노가,Anger
중심으로,to the center
조종하는,Controlled
빈손으로,Empty -handed
메스를,Mess
법원에,In the court
코치가,Coach
팔았어,I sold it
실내,inside
불러와,Call
테죠,Tejo
안드레우,Andreu
멋지다고,Cool
가이,Guy
두시간,Two -hour
걸리고,Caught
걸었어요,I walked
티켓을,Tickets
터무니,Turki
보트가,Boatman
하거라,Hara
그리고요,And yo
들기,Lifting
죽습니다,Die
계속할,To continue
만약을,If
재산,property
옥상에,On the roof
위성을,Satellite
고객은,Customer
어찌됐든,Whatever it
대상,Target
야호,Hurray
베일리를,Bailey
이랑,with
조지를,George
건다,Rend
봐선,Look at it
시작해볼까,shall we start
좋아지고,Good to get better
그들에겐,For them
업데이트,update
위해서지,To
그럴거에요,It will
부른다,Call
발목을,Ankle
웃겨요,Funny
없이요,Without
존을,Zone
장관,Minister
두려움이,Fear
메러디스의,Melodycian
부위를,The site
1년간,1 year
방도가,Bangdo
밝히는,elucidative
울려,Resonant
곡이,Song
이년,Two years
거라네,Gira
에워싼데도,Even too
전하의,Charge
팀과,Team
티아나,Thiana
도착하기,Arrival
컸어요,It was big
까마귀,Crow
처리하는,Processing
곤란한,difficult
편지에,In the letter
되찾고,Regain
은밀한,secret
어린애가,Children
가깝지,It's close
퍼지고,Spread
어떤건지,What is it
마찬가지지,Same support
쯤에,Around
글자,letter
거짓말쟁이야,It's a liar
나가자고,Let's go out
법한,Unlawful
모두요,Everyone
놀랍군요,It's amazing
풍선,balloon
고통스럽게,Painfully
올린,Uploaded
산으로,Mountain
알긴,Knight
현상금,prize
잘만,Well
자금,funds
이유라도,Even
멈추세요,Stop
자선,charity
고생을,Suffering
선생을,Teacher
전화할게요,I'll call you
창을,Window
따위가,Phase
싶단,I want to
버튼은,The button is
게야,Ya
오네요,It's coming
실크,silk
전화해야,Need to call
지난밤에,Last night
알았다구,Okay
정의,Justice
사라졌지,Gone disappeared
여기서요,Here
저처럼,Like me
매일매일,Daily
무서워하는,Scary
모양이군요,It's shape
게임이야,It's the game
가둬,Trap
잘자요,good night
누구에게나,To anyone
대장이,Captain
죽을수도,Might die
우울증,depression
참나,what the
슬픔에,Sorrow
고약한,evil
받습니다,Receive
윌은,Will
브로디,Brody
레벨,level
발견하지,Not found
군에,In the military
설명해야,Must be explained
말씀드린,Mentioned
좋아할거야,I will like it
용이,Dragon
스위치,switch
말했나요,Did you say
타이거,Tiger
찾았나요,Did you find it
사람인가,Is the person
장사,Sale
혼자는,Alone
중국에,China
친구였어요,I was a friend
끝냈어요,I finished
땀이,Sweaty
핵심은,The core is
부하가,Subordinate
우주는,The universe
사막,desert
힉스,Higgs
압력이,Pressure
무서워하지,I'm scared
등록,registration
곱게,Finely
자초한,Self -care
울지마,don't cry
선물도,Gift degree
쓰레기야,Garbage
보통의,Usual
헤어,hair
마비,paralysis
식량이,Food
믿는다고,I believe it
달러의,Dollar
귀엽고,Cute
이상할,Strange
매력을,Charm
믿네,I believe
사무실이,The office
고소할,Sue
조종,control
확보,secure
일러,Martial arts
인디언,Indian
속이는,deceptive
공주를,Princess
동생에게,To my brother
하나예요,One
공평하지,Not fair
좋을걸,It would be nice
그랬나요,Did you
중심에,Center
싶으신,I want to
델타,delta
기분도,Mood
병사를,Soldier
적고,Written
최첨단,Cutting edge
시작할까,Should I start
직원들,workers
마시면서,Drinking
나밖에,Outside
월터가,Walter
보았다,saw
불편해,uncomfortable
여기에는,In this
작동하는,Operating
내부의,Internal
해봐야지,I have to try it
위원회,Committee
미끼로,As a bait
어떡하고,What to do
훌륭하군,Good
웃음을,Laughter
있잖소,No
얻었다,Obtained
끝낸,Finished
아직이야,Still
공격적인,offensive
나아갈,Further
영국에서,In England
혈관이,Blood vessels
아가씨를,Lady
가로,width
평소엔,Usually
내리게,Down
시뮬레이션,simulation
내줄,Lines
겨누고,Aim
당기고,Pull
앙뚜완,Antuwan
나치가,Nazi
고속도로,highway
생긴다면,If it occurs
될테니까,It will be
소형,small type
시작될,Starting
이빨을,Teeth
미확인범이,Unidentified
렉시는,Lexy
넣어야,Put it in
지켜주고,Protect
공유하고,Share
샤워를,Shower
풀어줄,Unpacking
에디가,Ediga
상처도,Wound
여분의,extra
권투,boxing
준비하는,Prepared
스머프,Smurf
4명이,4 people
하시네,You are
존재의,Presence
닦아,Wipe
멋진데요,It's cool
상관이죠,It is irrelevant
우승,Championship
혁명,revolution
연락은,Contact
영웅이야,It's a hero
켜고,On
던컨,Duncan
출신이에요,I'm from
불빛,fire
거스,Gus
놈이라고,It's a guy
알았으니,Okay
놀랐지,I was surprised
이분,Man
저어라,Stir
했어도,Even
걱정돼요,I'm worried
캔디스,Candis
당신들도,You guys too
스타크의,Stark
알아줬으면,If you know
방의,Room
그런일이,That thing
이슬람,Islam
두번째로,The second
폐쇄,Closure
발전기,generator
깨달은,Realized
노래하는,Singing
딕슨,Dixon
날인데,It's a day
브룩,Brook
침,saliva
놀라워요,Amazing
건강하게,healthily
것이에요,It will be
보호해야,Should be protected
차단,block
요청하는,Requested
매력,attractiveness
치유,cure
해야겠군,I have to do it
아픈데,I'm sick
돌아오기,Return
직원들을,Employees
할건데,I'll do it
태도를,Attitude
지역은,The area
할렐루야,Hallelujah
커녕,Rather
묻죠,Ask
울리는,ringing
수치를,Shame
닉스,Knix
요청한다,request
꼬부랑,Cinhole
무의미한,meaningless
다니엘스,Daniels
아돌프,Adolf
무진장,inexhaustibility
보스를,Boss
지내게,Be sure to stay
서요,Stand
차근차근,Step by step
노인,old man
모금,Sip
흥분하지,I'm not excited
세르,Ser
리코랑,Rico Lang
찰,Scolding
돌려요,Turn it back
벨라,Bella
의뢰인이,The client
다음주,next week
넓게,widely
돌면,Backward
마크를,Mark
원격,remote
즉각,Immediately
쥐어,Squeeze
깨,sesame
아웃,out
디저트,dessert
비키,Vicky
나서요,After all
들리네,I can hear it
가거나,Go
심장마비,heart attack
특허,Patent
달릴,Run
스콜피온,Scorpion
평가를,Evaluation
내주셔서,For me
언제지,When
분들을,People
라디오를,Radio
커지고,Growing
얼마야,How much is it
뇌물을,Bribery
열받게,Upset
떠나라,Leave
어서와요,Come on
태어났어요,I was born
파,green onion
희한한,Rare
화장,Makeup
약점이,Weakness
찾아왔어,Come
안토니우스,Antonius
코울더,Coulder
파워,Power
재수없는,Unlucky
진실의,Truthful
부탁입니다,This is a request
수년,Many years
당신에게서,From you
법적인,Legal
코드가,Code
했든,Whether you do it
사귄,Dating
수트,Suit
해봐라,Try
알아보려고,To find out
동맥,artery
분부대로,As
